id,name,description,tags
22,ASUS TUF Gaming A15 (2024),"AMD Ryzen 7 7840HS/8845HS, RTX 4060 Laptop GPU, 16GB RAM, 512GB-1TB SSD, 15.6"" 144-165Hz; durable, value gaming.",gaming;windows;rtx4060;durable;value
23,ASUS Zenbook 14 OLED (UX3405),"Intel Core Ultra 7, 16-32GB RAM, 512GB-1TB SSD, 14"" 3K OLED, ~1.2kg; premium ultrabook with great battery.",ultrabook;windows;oled;lightweight;long-battery
24,ASUS Vivobook S15 OLED,"Intel Core Ultra, 16GB RAM, 512GB SSD, 15.6"" OLED; stylish midrange daily driver.",midrange;windows;oled;15-inch
25,Acer Swift Go 14 (2024),"Intel Core Ultra 7, 16-32GB RAM, 512GB-1TB SSD, 14"" OLED; lightweight with strong battery for students and travel.",ultrabook;windows;oled;student;travel
26,Acer Swift X 14,"Intel Core Ultra 7, RTX 4050 Laptop GPU, 16GB RAM, 1TB SSD, 14.5"" OLED; creator-focused portable with CUDA support.",creator;windows;oled;rtx4050;portable
27,Acer Predator Helios Neo 16,"Intel Core i7/i9 HX, up to RTX 4070 Laptop GPU, 16"" 165-240Hz, 16-32GB RAM, 1TB SSD; strong gaming value.",gaming;windows;rtx4070;high-refresh;value
28,Acer Nitro 16 (2024),"Intel/AMD options, RTX 4060 Laptop GPU, 16GB RAM, 512GB SSD, 16"" 165Hz; mainstream gaming notebook.",gaming;windows;rtx4060;mainstream
29,Acer TravelMate P6 14,"Intel Core Ultra, 16GB RAM, 512GB SSD, 14""; light business laptop with long battery and enterprise features.",business;windows;lightweight;long-battery
30,MSI Stealth 14 Studio,"Intel Core i7/i9 H-series, RTX 4060 Laptop GPU, 16GB-32GB RAM, 1TB SSD, 14""; compact creator/gaming hybrid.",creator;gaming;windows;portable;rtx4060
31,MSI Katana 15,"Intel Core i7 H-series, RTX 4060 Laptop GPU, 16GB RAM, 512GB-1TB SSD, 15.6"" 144Hz; budget gaming performance.",gaming;windows;budget;rtx4060
32,MSI Prestige 14,"Intel Core Ultra, 16GB RAM, 512GB-1TB SSD, 14""; thin-and-light for business/creators with good battery.",business;creator;windows;lightweight
33,Razer Blade 14 (2024),"AMD Ryzen 9 8945HS, RTX 4070 Laptop GPU, 32GB RAM, 1TB SSD, 14"" 240Hz; premium compact gaming/creator.",gaming;creator;windows;premium;portable;rtx4070
34,Razer Blade 16 (2024),"Intel Core i9 HX, up to RTX 4090 Laptop GPU, 32GB+ RAM, 1-2TB SSD, 16"" high-refresh; top-tier performance and build.",gaming;workstation;windows;premium;rtx4090
35,Samsung Galaxy Book4 Pro 14,"Intel Core Ultra, 16GB RAM, 512GB SSD, 14"" AMOLED, very light; great for travel and office work.",ultrabook;windows;amoled;lightweight;travel
36,Samsung Galaxy Book4 Pro 16,"Intel Core Ultra, 16GB RAM, 512GB-1TB SSD, 16"" AMOLED; larger screen for productivity, still slim.",business;windows;amoled;16-inch
37,"Microsoft Surface Laptop (7th Gen, 13.8"", Copilot+ PC)","Qualcomm Snapdragon X Elite/Plus, 16-32GB RAM, 512GB-1TB SSD, 13.8""; excellent battery & quiet. Note: no CUDA for NVIDIA workflows.",ultrabook;windows;arm;long-battery;quiet
38,"Microsoft Surface Laptop (7th Gen, 15"", Copilot+ PC)","Qualcomm Snapdragon X Elite/Plus, 16-32GB RAM, 512GB-1TB SSD, 15""; big screen, long battery, silent ARM performance.",business;windows;arm;long-battery;15-inch
39,Microsoft Surface Laptop Studio 2,"Intel Core i7, up to RTX 4060 Laptop GPU, 32GB RAM, 1TB SSD, 14.4"" 120Hz; creative 2-in-1 with pen for designers.",creator;2-in-1;windows;rtx4060;pen
40,Framework Laptop 13 (AMD),"AMD Ryzen 7 7840U, 16-32GB RAM (user-upgradeable), 512GB-2TB SSD (modular), 13.5""; repairable & modular design.",ultrabook;windows;linux-friendly;upgradeable;repairable
41,Framework Laptop 16,"AMD Ryzen + optional discrete GPU module, upgradeable RAM/SSD, 16""; modular workstation/creator with repairability.",workstation;windows;linux-friendly;upgradeable;modular
42,Gigabyte Aero 14 OLED,"Intel Core Ultra, RTX 4050 Laptop GPU, 16GB RAM, 1TB SSD, 14"" OLED; creator laptop with color-accurate display.",creator;windows;oled;color-accurate;rtx4050
43,Gigabyte Aorus 15,"Intel Core i7/i9, RTX 4060/4070 Laptop GPU, 15.6"" high-refresh; gaming performance at reasonable value.",gaming;windows;high-refresh;rtx4070
44,LG Gram 14,"Intel Core Ultra, 16GB RAM, 512GB SSD, 14""; ultra-light (around ~1kg), big battery for travel.",ultrabook;windows;lightweight;long-battery;travel
45,LG Gram 17,"Intel Core Ultra, 16GB RAM, 1TB SSD, 17""; extremely light for its size with large screen for productivity.",business;windows;lightweight;large-screen
46,HUAWEI MateBook X Pro (2024),"Intel Core Ultra, 16-32GB RAM, 1TB SSD, 14.2"" 3K OLED; premium build, great screen (availability varies by region).",ultrabook;windows;oled;premium
47,Xiaomi Redmi Book Pro 14 (2024),"Intel Core Ultra options, 16GB RAM, 512GB SSD, 14"" high-res; value ultrabook (regional availability).",ultrabook;windows;budget;value
48,Acer Chromebook Spin 714 (2024),"Intel Core Ultra U-series, 8-16GB RAM, 256-512GB storage, 14"" 2-in-1 running ChromeOS; great for web-centric workflows.",chromebook;2-in-1;student;web-first;budget
49,Dell Inspiron 14 Plus,"Intel Core Ultra, integrated/entry GPU options, 16GB RAM, 512GB SSD, 14""; midrange all-rounder for students and home office.",midrange;windows;student;home-office
50,Lenovo IdeaPad Slim 5 14,"AMD Ryzen 7 U-series options, 16GB RAM, 512GB SSD, 14""; budget ultrabook with solid build and battery life.",ultrabook;windows;budget;student
